City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Score,Weather Description
0,Bredasdorp,-34.5322,20.0403,50.52,91,0,5.79,ZA,141.52,Clear Skies and Light
1,Swan Hill,-35.3378,143.5544,48.49,84,98,9.04,AU,230.49,Cool and Cloudy
2,Busselton,-33.65,115.3333,51.55,74,5,7.14,AU,130.55,Clear Skies and Light
3,Salalah,17.0151,54.0924,77.09,94,100,6.91,OM,271.09000000000003,Warm and Humid
4,La Plaine,15.3333,-61.25,88.09,55,20,9.22,DM,163.09,Slightly cloudy and Cool
5,Punta Arenas,-53.15,-70.9167,42.12,70,20,31.07,CL,132.12,Clear Skies and Light
6,Rikitea,-23.1203,-134.9692,74.03,72,100,15.08,PF,246.03,Warm and Humid
7,Terrace,54.5163,-128.6035,87.22,45,3,1.34,CA,135.22,Clear Skies and Light
8,Pisco,-13.7,-76.2167,64.45,77,20,10.36,PE,161.45,Slightly cloudy and Cool
9,Shaoguan,24.8,113.5833,79.84,80,58,0.49,CN,217.84,Cool and Cloudy
10,Bandarbeyla,9.4942,50.8122,76.71,83,7,31.07,SO,166.70999999999998,Slightly cloudy and Cool
11,Upernavik,72.7868,-56.1549,40.06,84,100,2.82,GL,224.06,Cool and Cloudy
12,Ilulissat,69.2167,-51.1,44.62,87,75,5.75,GL,206.62,Cool and Cloudy
13,Yellowknife,62.456,-114.3525,66.56,59,100,4.0,CA,225.56,Cool and Cloudy
14,Nuuk,64.1835,-51.7216,47.88,81,40,9.22,GL,168.88,Slightly cloudy and Cool
15,Seoul,37.5683,126.9778,78.24,77,1,4.14,KR,156.24,Slightly cloudy and Cool
16,Katsuura,35.1333,140.3,78.91,92,100,12.01,JP,270.90999999999997,Warm and Humid
17,Matay,28.419,30.7792,89.47,19,0,4.52,EG,108.47,Clear Skies and Light
18,Avarua,-21.2078,-159.775,75.25,69,20,16.11,CK,164.25,Slightly cloudy and Cool
19,Lavrentiya,65.5833,-171.0,42.35,82,100,7.67,RU,224.35,Cool and Cloudy
20,Bethel,41.3712,-73.414,87.19,49,40,5.75,US,176.19,Slightly cloudy and Cool
21,Takoradi,4.8845,-1.7554,75.67,86,100,12.5,GH,261.67,Warm and Humid
22,San Andres,12.5847,-81.7006,87.82,66,40,13.8,CO,193.82,Slightly cloudy and Cool
23,Ushuaia,-54.8,-68.3,44.26,53,40,3.44,AR,137.26,Clear Skies and Light
24,Kedrovyy,56.1667,91.8167,48.61,92,34,2.68,RU,174.61,Slightly cloudy and Cool
25,Tasiilaq,65.6145,-37.6368,44.76,89,86,2.3,GL,219.76,Cool and Cloudy
26,Thunder Bay,48.4001,-89.3168,63.61,67,100,6.35,CA,230.61,Cool and Cloudy
27,Mar Del Plata,-38.0023,-57.5575,54.09,60,100,3.44,AR,214.09,Cool and Cloudy
28,Qaqortoq,60.7167,-46.0333,43.72,83,30,6.31,GL,156.72,Slightly cloudy and Cool
29,Hermanus,-34.4187,19.2345,53.58,82,0,11.92,ZA,135.57999999999998,Clear Skies and Light
30,Cape Town,-33.9258,18.4232,60.91,72,0,11.01,ZA,132.91,Clear Skies and Light
31,Talnakh,69.4865,88.3972,56.21,56,72,5.73,RU,184.21,Slightly cloudy and Cool
